,area_type,location,total_sqft,bath,price,size,per_sq_foot
99,1,other,1200.0,3.0,90.0,3,7500.0
100,0,Yeshwanthpur,2502.0,3.0,138.0,3,5515.587529976019
101,1,Chandapura,650.0,1.0,17.0,2,2615.3846153846152
102,2,Kothanur,2400.0,2.0,150.0,3,6250.0
103,0,other,1007.0,2.0,43.0,2,4270.109235352532
104,0,other,1200.0,2.0,50.0,2,4166.666666666667
105,0,other,966.0,2.0,49.9,2,5165.631469979296
106,1,Nagarbhavi,1630.0,2.0,98.0,3,6012.269938650306
107,1,Rajaji Nagar,1640.0,3.0,229.0,3,13963.414634146342
108,1,other,782.0,2.0,55.68,2,7120.204603580562
109,0,Devanahalli,1260.0,2.0,66.78,2,5300.0
110,0,other,1800.0,3.0,120.0,3,6666.666666666667
111,0,other,1413.0,2.0,75.0,3,5307.855626326964
112,0,Whitefield,1116.0,2.0,51.91,2,4651.433691756272
113,0,Electronic City,1530.0,2.0,45.9,3,3000.0
114,1,Ramamurthy Nagar,3700.0,4.0,225.0,4,6081.081081081081
115,1,Sarjapur  Road,2497.0,3.0,140.0,3,5606.728073688426
116,0,Kengeri,1540.0,2.0,64.0,3,4155.8441558441555
117,0,Thanisandra,1436.0,3.0,74.75,3,5205.431754874652
118,0,Malleshwaram,1100.0,2.0,75.0,2,6818.181818181818
119,2,Hennur Road,276.0,3.0,23.0,2,8333.333333333334
120,0,Thanisandra,1427.0,3.0,120.0,3,8409.250175192712
121,0,Akshaya Nagar,2061.0,3.0,200.0,3,9704.02717127608
122,0,Hebbal,5611.5,4.0,477.0,4,8500.400962309543
123,1,Shampura,2650.0,4.0,150.0,4,5660.377358490566
124,0,Devanahalli,1282.0,2.0,68.52,3,5344.773790951638
125,1,Kadugodi,1050.0,2.0,34.0,2,3238.095238095238
126,1,LB Shastri Nagar,1600.0,3.0,65.0,3,4062.5
127,0,other,945.0,2.0,54.0,2,5714.285714285715
128,0,Hormavu,1500.0,2.0,78.0,2,5200.0
129,2,Vishwapriya Layout,950.0,7.0,115.0,7,12105.263157894737
130,1,other,1870.0,3.0,110.0,3,5882.35294117647
131,2,Sarjapur,1600.0,3.0,75.0,3,4687.5
132,0,Electronic City,880.0,1.0,16.5,2,1875.0
133,2,other,1200.0,4.0,210.0,4,17500.0
134,0,Kudlu Gate,1535.0,3.0,83.0,3,5407.166123778502
135,1,Kanakpura Road,950.0,2.0,57.0,2,6000.0
136,0,Devanahalli,1360.0,2.0,65.0,2,4779.411764705882
137,0,8th Phase JP Nagar,1073.5,2.0,54.005,2,5030.740568234746
138,0,Bommasandra Industrial Area,1280.0,3.0,50.4,3,3937.5
139,0,other,1260.0,2.0,85.05,3,6750.0
140,1,Hennur Road,5000.0,8.0,250.0,8,5000.0
141,0,Yelahanka,3050.0,5.0,213.0,5,6983.606557377049
142,0,Kasavanhalli,1563.05,3.0,105.0,3,6717.635392341896
143,0,ISRO Layout,1000.0,2.0,60.0,2,6000.0
144,0,Anandapura,1167.0,2.0,43.76,2,3749.7857754927163
145,0,Vishveshwarya Layout,4000.0,7.0,225.0,7,5625.0
146,0,Kothanur,1828.0,3.0,110.0,3,6017.505470459519
147,0,Kengeri Satellite Town,890.0,2.0,35.0,2,3932.5842696629215
148,0,other,1612.0,3.0,46.74,3,2899.5037220843674
149,2,other,1034.0,5.0,185.0,6,17891.682785299807
150,0,Mysore Road,1710.0,4.0,91.31,3,5339.766081871345
151,0,Kannamangala,957.0,2.0,58.0,2,6060.606060606061
152,0,Devarachikkanahalli,1250.0,2.0,44.0,3,3520.0
153,0,other,2795.0,4.0,235.0,3,8407.871198568873
154,0,Hulimavu,1125.0,2.0,50.0,2,4444.444444444444
155,0,Electronic City Phase II,1020.0,2.0,30.6,2,3000.0
156,0,Kalena Agrahara,1200.0,2.0,50.0,2,4166.666666666667
157,0,Thanisandra,1735.0,3.0,135.0,3,7780.979827089337
158,0,Thanisandra,2050.0,3.0,145.0,3,7073.170731707317
159,2,Mahalakshmi Layout,3750.0,4.0,760.0,4,20266.666666666668
160,1,other,1350.0,2.0,48.0,3,3555.5555555555557
161,0,Hosa Road,1063.0,2.0,32.0,2,3010.348071495767
162,0,other,1904.0,3.0,150.0,3,7878.151260504202
163,1,Whitefield,4200.0,4.0,420.0,4,10000.0
164,0,other,2000.0,3.0,175.0,3,8750.0
165,0,Sarjapur,1242.5,2.0,43.49,2,3500.201207243461
166,0,other,1425.0,2.0,75.0,3,5263.1578947368425
167,0,Electronic City,1500.0,2.0,64.5,3,4300.0
168,1,Electronic City,1060.0,2.0,60.0,2,5660.377358490566
169,1,other,1470.0,2.0,70.0,3,4761.9047619047615
170,0,other,1300.0,6.0,99.0,6,7615.384615384615
171,0,Attibele,450.0,1.0,11.0,1,2444.4444444444443
172,0,Electronic City,1152.0,2.0,64.5,2,5598.958333333333
173,0,Electronic City,1350.0,2.0,56.0,3,4148.148148148148
174,0,CV Raman Nagar,1550.0,3.0,65.0,3,4193.548387096775
175,2,other,1500.0,3.0,100.0,3,6666.666666666667
176,2,Kumaraswami Layout,600.0,3.0,85.0,5,14166.666666666666
177,2,Nagavara,400.0,1.0,14.0,1,3500.0
178,0,Malleshwaram,705.0,1.0,67.0,1,9503.54609929078
179,1,Electronic City,770.0,1.0,36.0,2,4675.324675324675
180,0,Hulimavu,1242.0,2.0,51.0,2,4106.280193236715
181,0,Hebbal Kempapura,1700.0,3.0,155.0,3,9117.64705882353
182,0,Thanisandra,2144.0,3.0,145.0,3,6763.059701492537
183,0,Vijayanagar,1704.0,3.0,110.0,3,6455.399061032864
184,0,Electronic City,1070.0,2.0,52.0,2,4859.813084112149
185,2,other,1846.0,3.0,300.0,3,16251.354279523293
186,0,other,1340.0,2.0,55.7,2,4156.7164179104475
187,1,Electronic City,1025.0,2.0,46.0,2,4487.804878048781
188,0,KR Puram,1277.5,2.0,56.8,2,4446.183953033268
189,0,Marathahalli,1200.0,2.0,52.0,2,4333.333333333333
190,1,Kanakpura Road,2250.0,4.0,110.0,4,4888.888888888889
191,0,Pattandur Agrahara,1550.0,2.0,80.0,3,5161.290322580645
192,2,Bellandur,1200.0,5.0,325.0,4,27083.333333333332
193,2,other,1800.0,7.0,250.0,7,13888.888888888889
194,0,Marathahalli,1200.0,2.0,60.0,2,5000.0
195,0,Yelahanka,1327.0,2.0,98.0,2,7385.079125847777
196,0,Kothanur,1186.0,2.0,58.0,2,4890.387858347386
197,1,other,1783.0,3.0,115.0,3,6449.8037016264725
198,0,HSR Layout,1400.0,3.0,56.0,3,4000.0
199,0,Nagasandra,980.0,2.0,48.0,2,4897.959183673469
200,0,EPIP Zone,1285.0,2.0,82.0,2,6381.322957198444
201,0,other,912.0,2.0,70.0,3,7675.438596491228
202,1,Whitefield,1225.0,2.0,47.6,2,3885.714285714286
203,0,Whitefield,1075.0,2.0,53.0,2,4930.232558139535
204,1,Kadugodi,1260.0,2.0,54.0,3,4285.714285714285
205,0,Yelahanka,1282.0,2.0,48.7,3,3798.751950078003
206,0,Kogilu,1909.0,3.0,88.0,3,4609.743321110529
207,0,Panathur,1359.0,2.0,87.0,2,6401.766004415011
208,1,other,1207.0,2.0,43.5,2,3603.976801988401
209,2,Padmanabhanagar,1736.0,6.0,190.0,4,10944.700460829494
210,0,1st Block Jayanagar,2850.0,4.0,428.0,4,15017.543859649122
211,0,Kammasandra,1595.0,3.0,65.0,3,4075.2351097178685
212,1,other,1798.0,3.0,89.0,3,4949.944382647386
213,0,Electronics City Phase 1,1475.0,3.0,78.29,3,5307.796610169492
214,0,other,1580.0,3.0,100.0,3,6329.113924050633
215,0,Dasarahalli,1295.0,2.0,65.0,2,5019.305019305019
216,1,Magadi Road,3600.0,6.0,141.0,6,3916.6666666666665
217,0,Electronic City,589.0,1.0,27.0,1,4584.040747028863
218,0,other,1415.0,3.0,78.0,3,5512.367491166077
219,0,Sarjapur  Road,1787.0,3.0,98.29,3,5500.279798545048
220,0,Sarjapur  Road,1787.0,3.0,125.0,3,6994.963626189144
221,0,Koramangala,1475.0,2.0,90.0,3,6101.6949152542375
222,1,other,2000.0,4.0,75.5,4,3775.0
223,0,Sarjapur  Road,984.0,2.0,44.28,2,4500.0
224,0,Devanahalli,1630.0,2.0,74.82,3,4590.184049079754
225,0,other,2405.0,4.0,260.0,3,10810.81081081081
226,1,7th Phase JP Nagar,1080.0,2.0,72.0,2,6666.666666666667
227,2,other,1500.0,2.0,115.0,2,7666.666666666667
228,0,Hebbal,1900.0,3.0,119.0,3,6263.1578947368425
229,0,Dommasandra,805.0,2.0,22.14,2,2750.3105590062114
230,0,Budigere,1153.0,2.0,56.4,2,4891.587163920208
231,0,other,1148.0,2.0,60.0,2,5226.480836236934
232,0,other,1110.0,2.0,55.0,2,4954.954954954955
233,1,Electronic City,1100.0,2.0,42.0,2,3818.181818181818
234,0,Kalyan nagar,1290.0,2.0,110.0,2,8527.131782945737
235,0,other,1500.0,2.0,65.0,3,4333.333333333333
236,0,other,1080.0,2.0,39.0,2,3611.1111111111113
237,0,Vijayanagar,1933.0,3.0,129.0,3,6673.564407656492
238,1,Ramamurthy Nagar,3500.0,5.0,150.0,5,4285.714285714285
239,1,other,1060.0,2.0,60.0,2,5660.377358490566
240,0,Chandapura,645.0,1.0,16.45,1,2550.3875968992247
241,2,other,2600.0,8.0,180.0,8,6923.076923076923
242,0,Chandapura,645.0,1.0,16.45,1,2550.3875968992247
243,0,other,1644.0,3.0,84.0,3,5109.489051094891
244,0,other,1285.0,2.0,72.5,2,5642.023346303502
245,2,Electronic City,1200.0,3.0,90.0,3,7500.0
246,0,Electronic City,910.0,2.0,40.0,2,4395.604395604396
247,0,Kothanur,1577.0,3.0,70.0,3,4438.807863031072
248,2,other,4050.0,3.0,280.0,3,6913.580246913581
249,0,OMBR Layout,2420.0,3.0,185.0,3,7644.628099173554
250,0,Chandapura,800.0,1.0,20.0,2,2500.0
251,1,other,1060.0,2.0,55.0,2,5188.679245283019
252,0,7th Phase JP Nagar,1270.0,2.0,93.0,2,7322.834645669292
253,0,other,900.0,2.0,22.5,2,2500.0
254,1,other,1280.0,2.0,69.0,2,5390.625
255,2,Horamavu Agara,1200.0,2.0,95.0,4,7916.666666666667
256,1,Sarjapur  Road,1025.0,2.0,36.0,2,3512.1951219512193
257,0,Electronic City,1108.0,2.0,63.0,2,5685.9205776173285
258,2,other,1200.0,5.0,170.0,5,14166.666666666666
259,0,other,3045.0,3.0,170.0,3,5582.922824302134
260,2,Ambedkar Nagar,2900.0,3.0,300.0,4,10344.827586206897
261,0,Vijayanagar,1500.0,3.0,75.5,3,5033.333333333333
262,0,Raja Rajeshwari Nagar,1295.0,2.0,43.9,2,3389.96138996139
263,0,Budigere,1162.0,2.0,59.9,2,5154.9053356282275
264,0,Sarjapur  Road,1035.0,2.0,49.2,2,4753.623188405797
265,1,Attibele,1600.0,4.0,52.8,4,3300.0
266,0,other,1464.0,3.0,46.0,3,3142.0765027322404
267,0,Hennur Road,1866.0,2.0,61.58,3,3300.10718113612
268,0,other,700.0,1.0,26.0,2,3714.285714285714
269,0,Kalena Agrahara,1804.0,3.0,120.0,3,6651.884700665189
270,0,Sarjapur,913.0,2.0,32.0,2,3504.9288061336256
271,0,Talaghattapura,1868.0,3.0,131.0,3,7012.847965738758
272,1,Kengeri Satellite Town,883.0,2.0,45.0,2,5096.262740656852
273,2,other,900.0,2.0,110.0,2,12222.222222222223
274,0,Kogilu,1664.0,2.0,73.95,3,4444.110576923077
275,0,Hegde Nagar,2026.0,3.0,132.0,3,6515.301085883514
276,0,Balagere,1210.0,2.0,80.9,2,6685.950413223141
277,2,other,4111.0,4.0,250.0,4,6081.24543906592
278,0,Kadugodi,1762.0,3.0,91.45,3,5190.124858115778
279,0,Jigani,1252.0,3.0,55.0,3,4392.97124600639
280,1,Gollarapalya Hosahalli,861.0,2.0,34.5,2,4006.968641114983
281,1,7th Phase JP Nagar,1420.0,2.0,100.0,3,7042.2535211267605
282,2,other,1450.0,6.0,250.0,6,17241.379310344826
283,1,Electronics City Phase 1,1490.0,3.0,78.8,3,5288.5906040268455
284,0,Bisuvanahalli,1075.0,2.0,46.0,3,4279.069767441861
285,0,Old Madras Road,1425.0,2.0,94.0,3,6596.491228070176
286,1,Kalena Agrahara,1200.0,2.0,40.0,2,3333.3333333333335
287,0,Kaggadasapura,1280.0,2.0,56.0,3,4375.0
288,0,other,1084.0,2.0,50.0,2,4612.546125461255
289,0,Chandapura,1015.0,2.0,25.88,2,2549.753694581281
290,0,Kanakpura Road,1017.0,2.0,51.25,2,5039.331366764995
291,0,Haralur Road,1027.0,2.0,44.0,2,4284.323271665044
292,0,Electronic City Phase II,1069.0,2.0,45.0,2,4209.541627689429
293,0,Hebbal,1349.0,2.0,98.2,2,7279.466271312083
294,0,9th Phase JP Nagar,1005.0,2.0,50.0,2,4975.124378109453
295,0,Jakkur,1417.0,2.0,75.0,2,5292.87226534933
296,2,TC Palaya,1475.0,3.0,98.0,3,6644.067796610169
297,3,other,950.0,2.0,47.0,2,4947.368421052632
298,0,other,2000.0,4.0,120.0,4,6000.0
299,2,Giri Nagar,880.0,3.0,140.0,3,15909.09090909091
300,0,Sarjapur  Road,1863.0,3.0,104.0,4,5582.393988191089
301,0,Singasandra,1010.0,2.0,29.5,2,2920.792079207921
302,0,Kalena Agrahara,1425.0,2.0,70.0,3,4912.2807017543855
303,0,Vijayanagar,1450.0,3.0,100.0,3,6896.551724137931
304,0,Kothanur,1847.0,3.0,105.0,3,5684.89442338928
305,0,AECS Layout,1100.0,2.0,45.0,2,4090.909090909091
306,0,Kanakpura Road,525.0,1.0,26.0,1,4952.380952380952
307,0,Mallasandra,1665.0,3.0,95.0,3,5705.705705705705
308,0,Begur,1664.0,4.0,65.0,4,3906.25
309,0,JP Nagar,1850.0,3.0,150.0,3,8108.108108108108
310,0,Panathur,1438.0,2.0,100.0,2,6954.102920723227
311,0,other,1560.0,3.0,115.0,3,7371.794871794872
312,0,Yelahanka,1350.0,2.0,55.55,2,4114.814814814815
313,0,Kanakpura Road,1550.0,3.0,67.0,3,4322.580645161291
314,0,Malleshpalya,1140.0,2.0,46.5,2,4078.9473684210525
315,2,other,1200.0,5.0,180.0,5,15000.0
316,0,other,850.0,2.0,27.0,2,3176.470588235294
317,0,Whitefield,1280.0,2.0,75.0,2,5859.375
318,1,Munnekollal,1170.0,2.0,52.0,2,4444.444444444444
319,0,other,1113.0,2.0,51.0,2,4582.210242587601
320,0,Hennur Road,1385.0,2.0,83.09,2,5999.27797833935
321,0,Electronic City,1128.0,2.0,65.0,2,5762.41134751773
322,2,Marathahalli,1200.0,2.0,128.0,2,10666.666666666666
323,2,other,1200.0,4.0,165.0,4,13750.0
324,0,Rajaji Nagar,2390.0,3.0,415.0,3,17364.016736401674
325,2,Giri Nagar,2400.0,4.0,400.0,4,16666.666666666668
326,0,Haralur Road,1464.0,3.0,56.0,3,3825.136612021858
327,0,other,1200.0,2.0,55.0,2,4583.333333333333
328,0,Kaval Byrasandra,1200.0,2.0,52.0,2,4333.333333333333
329,0,Kaggalipura,1150.0,2.0,55.0,3,4782.608695652174
330,1,other,1645.0,3.0,95.0,3,5775.075987841945
331,0,Sarjapur  Road,1000.0,2.0,67.0,2,6700.0
332,2,Haralur Road,2650.0,4.0,198.0,4,7471.698113207547
333,0,6th Phase JP Nagar,1192.0,2.0,74.0,2,6208.053691275168
334,0,Ulsoor,2135.0,3.0,215.0,3,10070.257611241217
335,0,Whitefield,1173.0,2.0,58.0,2,4944.58653026428
336,1,Uttarahalli,1020.0,2.0,45.0,2,4411.764705882353
337,0,Thigalarapalya,3122.0,6.0,230.0,4,7367.072389493914
338,0,Somasundara Palya,1600.0,3.0,64.0,3,4000.0
339,2,other,1200.0,2.0,79.0,2,6583.333333333333
340,3,other,1230.0,2.0,48.0,2,3902.439024390244
341,0,Devarachikkanahalli,1250.0,2.0,40.0,2,3200.0
342,0,Kalena Agrahara,1325.0,2.0,76.0,2,5735.8490566037735
343,1,7th Phase JP Nagar,1850.0,3.0,150.0,3,8108.108108108108
344,0,Kanakpura Road,525.0,2.0,21.53,1,4100.952380952381
345,0,Basaveshwara Nagar,1200.0,2.0,65.0,2,5416.666666666667
346,2,other,1350.0,2.0,140.0,3,10370.37037037037
347,0,Bommasandra,1260.0,3.0,49.36,3,3917.4603174603176
348,0,other,1800.0,3.0,150.0,3,8333.333333333334
349,2,other,11.0,3.0,74.0,3,672727.2727272727
350,1,Ardendale,1100.0,2.0,43.25,2,3931.818181818182
351,0,Harlur,1508.0,2.0,77.0,2,5106.100795755968
352,3,other,1592.0,3.0,75.0,3,4711.05527638191
353,0,Akshaya Nagar,1388.0,2.0,57.0,2,4106.628242074928
354,0,Electronic City Phase II,630.0,1.0,28.35,1,4500.0
355,2,other,2000.0,3.0,365.0,3,18250.0
356,0,other,1762.0,3.0,125.0,3,7094.211123723042
357,0,other,950.0,2.0,50.0,2,5263.1578947368425
358,0,Kodihalli,3252.0,5.0,335.0,4,10301.353013530135
359,0,Magadi Road,1116.0,2.0,50.0,2,4480.286738351255
360,0,Narayanapura,1308.0,2.0,89.04,2,6807.339449541284
361,0,other,1200.0,3.0,90.0,3,7500.0
362,2,other,1500.0,4.0,230.0,4,15333.333333333334
363,1,Bannerghatta Road,500.0,1.0,18.5,1,3700.0
364,0,Hennur,1075.0,2.0,52.0,2,4837.209302325581
365,0,Chandapura,530.0,1.0,11.66,1,2200.0
366,1,Bellandur,1205.0,2.0,66.0,2,5477.178423236514
367,0,5th Phase JP Nagar,1075.0,2.0,60.0,2,5581.395348837209
368,1,KR Puram,930.0,2.0,39.0,2,4193.548387096775
369,0,Balagere,1380.0,2.0,60.0,2,4347.826086956522
370,0,Hebbal,2483.0,5.0,212.0,4,8538.058799838904
371,1,Kodigehaali,1166.0,2.0,55.0,2,4716.981132075472
372,0,Bannerghatta Road,1050.0,2.0,65.0,2,6190.476190476191
373,0,other,2023.71,3.0,275.0,3,13588.903548433324
374,0,Begur Road,1200.0,2.0,46.8,2,3900.0
375,0,Lakshminarayana Pura,1600.0,2.0,108.0,3,6750.0
376,0,Billekahalli,1935.0,3.0,110.0,3,5684.754521963824
377,0,8th Phase JP Nagar,451.0,1.0,29.9,1,6629.711751662971
378,0,Electronic City,1800.0,3.0,95.0,3,5277.777777777777
379,0,Jalahalli,1400.0,3.0,77.0,3,5500.0
380,0,Hegde Nagar,1801.0,3.0,115.0,3,6385.341476957246
381,1,Mahadevpura,1451.0,2.0,90.0,2,6202.618883528601
382,2,Anekal,1200.0,1.0,36.0,2,3000.0
383,0,Begur Road,1160.0,2.0,44.0,2,3793.103448275862
384,1,Kengeri,1000.0,2.0,25.0,2,2500.0
385,0,Kanakpura Road,950.0,2.0,40.0,2,4210.526315789473
386,1,other,1629.0,3.0,79.0,3,4849.600982197668
387,1,Vijayanagar,1580.0,2.0,134.0,3,8481.012658227848
388,0,Vijayanagar,1826.0,3.0,121.0,3,6626.506024096386
389,1,7th Phase JP Nagar,1245.0,2.0,94.0,2,7550.2008032128515
390,0,Raja Rajeshwari Nagar,1145.0,2.0,45.79,2,3999.126637554585
391,0,Sompura,825.0,2.0,33.0,2,4000.0
392,0,Yeshwanthpur,1693.0,3.0,108.0,3,6379.208505611341
393,0,Electronics City Phase 1,1113.27,2.0,53.0,2,4760.74986301616
394,1,other,1460.0,2.0,58.0,2,3972.6027397260273
395,1,Doddathoguru,1050.0,2.0,32.0,2,3047.6190476190477
396,1,Dodda Nekkundi,1260.0,2.0,55.0,2,4365.079365079365
397,0,other,700.0,3.0,120.0,6,17142.85714285714
398,1,Hosur Road,1656.0,2.0,120.0,2,7246.376811594203
399,0,Chandapura,1208.0,3.0,45.0,3,3725.1655629139073
400,0,Whitefield,1910.0,3.0,161.0,3,8429.319371727748
401,0,Whitefield,3252.0,4.0,230.0,4,7072.570725707257
402,2,Battarahalli,1200.0,2.0,65.0,2,5416.666666666667
403,0,other,1200.0,4.0,175.0,4,14583.333333333334
404,0,7th Phase JP Nagar,1175.0,2.0,82.0,2,6978.723404255319
405,2,other,1000.0,2.0,165.0,2,16500.0
406,2,Bannerghatta Road,1200.0,2.0,125.0,4,10416.666666666666
407,0,Rajaji Nagar,2390.0,3.0,410.0,3,17154.81171548117
408,0,Rajaji Nagar,12000.0,6.0,2200.0,7,18333.333333333332
409,2,Sultan Palaya,550.0,1.0,62.0,2,11272.727272727272
411,0,other,1185.0,2.0,38.0,2,3206.7510548523205
412,0,Kengeri,750.0,2.0,38.0,2,5066.666666666667
413,2,Mahalakshmi Layout,1200.0,7.0,250.0,6,20833.333333333332
414,0,Kanakpura Road,1550.0,3.0,64.5,3,4161.290322580645
415,1,other,1760.0,3.0,88.0,3,5000.0
416,0,Billekahalli,1125.0,2.0,62.0,2,5511.111111111111
417,2,Nagarbhavi,1350.0,3.0,150.0,3,11111.111111111111
418,2,Anandapura,1000.0,2.0,55.0,2,5500.0
419,1,Bommasandra Industrial Area,1090.0,2.0,31.48,2,2888.0733944954127
420,2,TC Palaya,1200.0,2.0,60.0,2,5000.0
